Track Name,Track Color,Distance (km)
1xx - Заека,Blue,1.488
1хх - Белащица - Куклен,Green,7.164
1хх - Брестнишката,Green,5.792
1хх - Въведение Богородично - Белащица,Blue,6.693
1хх - Долни Воден - Куклен,Green,3.887
1хх - Долни Воден - Руен,Green,2.67
1хх - Класиката,Blue,6.399
1хх - Крива Коприва 001,Red,3.702
1хх - Куклата,DarkRed,5.599
1хх - Куклен - Влахин,Red,4.309
1хх - Куклен - Здравец,Green,17.598
1хх - Куклен - с.Яврово,Blue,10.91
1хх - Куклен - Св. Козма и Дамян,Blue,4.247
1хх - с.Руен - св. Йоан Кръстител,Green,0.889
1хх - с.Яврово - с.Лясково,Blue,2.029
1хх - с.Яврово - с.Лясково 001,Green,1.826
1хх - с.Яврово - х.Здравец,Green,10.95
1хх - св. Илия - св. Пантелеймон,Green,1.249
2хх - Лясковската,Green,6.058
